0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:14:24 +0530] "GET /hr HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:14:25 +0530] "GET /hr/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:14:33 +0530] "GET /hr/eg1.html HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:01 +0530] "GET /hr/eg1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:01 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:01 +0530] "GET /hr/eg1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:02 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:02 +0530] "GET /hr/eg1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:02 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:02 +0530] "GET /hr/eg1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:02 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:02 +0530] "GET /hr/eg1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:02 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:02 +0530] "GET /hr/eg1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:02 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:02 +0530] "GET /hr/eg1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:02 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:02 +0530] "GET /hr/eg1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:03 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:03 +0530] "GET /hr/eg1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:03 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:03 +0530] "GET /hr/eg1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:03 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:03 +0530] "GET /hr/eg1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:15:03 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:16:03 +0530] "GET /hr/eg1.html HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:16:05 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:17:39 +0530] "GET /hr/eg1.html HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:17:41 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:19:26 +0530] "GET /hr/eg1.html HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:19:44 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:20:03 +0530] "GET /hr/eg1.html HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:20:10 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:55:29 +0530] "GET /hr/eg1.html HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:55:29 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:55:43 +0530] "GET /hr/eg5.html HTTP/1.1" 200 2435
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:56:52 +0530] "GET /hr/eg5.html HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:56:52 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:56:53 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:56:53 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:56:53 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:56:54 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:56:54 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:56:55 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:56:55 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:56:55 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:56:55 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:56:55 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:56:55 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:56:55 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:56:55 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:56:55 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:57:39 +0530] "GET /hr/eg5.html HTTP/1.1" 200 2490
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:57:39 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:57:40 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:57:40 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:57:40 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:57:40 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:57:40 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:57:40 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:22 +0530] "GET /hr/eg5.html HTTP/1.1" 200 2517
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:23 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:23 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:23 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:23 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:23 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:23 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:24 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:24 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:24 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:24 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:24 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:24 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:24 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:24 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:25 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:25 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:25 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:25 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:25 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:25 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:25 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:25 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:25 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:25 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:18:58:25 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:15 +0530] "GET /hr/eg5.html HTTP/1.1" 200 2446
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:15 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:15 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:15 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:15 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:15 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:15 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:16 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:16 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:16 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:16 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:16 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:16 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:16 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:16 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:16 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:16 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:17 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:17 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:17 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:17 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:17 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:17 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:17 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:17 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:17 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:18 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:18 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:18 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:01:18 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:06 +0530] "GET /hr/eg5.html HTTP/1.1" 200 2446
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:06 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:48 +0530] "GET /hr/eg5.html HTTP/1.1" 200 2489
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:48 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:48 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:48 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:49 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:49 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:49 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:49 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:49 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:49 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:49 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:49 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:49 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:50 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
